DateTime,Silver-INR,Silver-USD
12-01-1996 00:00,194.63232,5.44
15-01-1996 00:00,194.0631,5.42
16-01-1996 00:00,196.41676,5.47
17-01-1996 00:00,196.82748,5.49
18-01-1996 00:00,194.85555,5.43
19-01-1996 00:00,195.3232,5.44
22-01-1996 00:00,199.63994,5.57
23-01-1996 00:00,198.1104,5.54
24-01-1996 00:00,196.71768,5.49
25-01-1996 00:00,200.4936,5.56
26-01-1996 00:00,199.08984,5.52
29-01-1996 00:00,198.64824,5.52
30-01-1996 00:00,200.17128,5.54
31-01-1996 00:00,203.0822,5.57
01-02-1996 00:00,212.3264,5.8
02-02-1996 00:00,213.60564,5.82
05-02-1996 00:00,219.42942,5.79
06-02-1996 00:00,216.84672,5.76
07-02-1996 00:00,211.88104,5.68
08-02-1996 00:00,211.97748,5.72
09-02-1996 00:00,209.0839,5.65
12-02-1996 00:00,208.77315,5.65
13-02-1996 00:00,209.92972,5.72
14-02-1996 00:00,208.82576,5.72
15-02-1996 00:00,205.92851,5.63
16-02-1996 00:00,208.43784,5.71
19-02-1996 00:00,208.69479,5.71
20-02-1996 00:00,202.60888,5.54
21-02-1996 00:00,204.1443,5.58
22-02-1996 00:00,201.96576,5.52
23-02-1996 00:00,197.53525,5.45
26-02-1996 00:00,196.09084,5.48
27-02-1996 00:00,194.65542,5.47
28-02-1996 00:00,193.39549,5.51
29-02-1996 00:00,190.22724,5.51
01-03-1996 00:00,189.4695,5.5
04-03-1996 00:00,185.66933,5.39
05-03-1996 00:00,182.56926,5.37
06-03-1996 00:00,183.22666,5.38
07-03-1996 00:00,184.89693,5.43
08-03-1996 00:00,186.96744,5.49
11-03-1996 00:00,187.21449,5.49
12-03-1996 00:00,189.23835,5.55
13-03-1996 00:00,191.33466,5.61
14-03-1996 00:00,189.90358,5.57
15-03-1996 00:00,191.47986,5.59
18-03-1996 00:00,193.1289,5.55
19-03-1996 00:00,194.02248,5.52
20-03-1996 00:00,196.55712,5.56
21-03-1996 00:00,194.08917,5.61
22-03-1996 00:00,194.235,5.63
25-03-1996 00:00,192.29265,5.63
26-03-1996 00:00,193.49414,5.69
27-03-1996 00:00,193.94235,5.67
28-03-1996 00:00,188.45853,5.51
29-03-1996 00:00,187.66896,5.52
01-04-1996 00:00,188.56194,5.53
02-04-1996 00:00,187.2915,5.5
03-04-1996 00:00,188.52456,5.52
04-04-1996 00:00,185.26102,5.42
05-04-1996 00:00,185.70057,5.43
08-04-1996 00:00,187.26862,5.54
09-04-1996 00:00,186.72108,5.46
10-04-1996 00:00,187.93368,5.49
11-04-1996 00:00,190.03308,5.54
12-04-1996 00:00,188.72852,5.51
15-04-1996 00:00,187.70644,5.48
16-04-1996 00:00,181.2547,5.3
17-04-1996 00:00,181.57545,5.31
18-04-1996 00:00,180.85584,5.28
19-04-1996 00:00,180.4975,5.27
22-04-1996 00:00,182.54184,5.33
23-04-1996 00:00,182.17276,5.32
24-04-1996 00:00,181.0162,5.3
25-04-1996 00:00,183.96009,5.37
26-04-1996 00:00,180.23927,5.27
29-04-1996 00:00,179.15888,5.23
30-04-1996 00:00,184.03476,5.32
01-05-1996 00:00,187.02222,5.39
02-05-1996 00:00,186.54251,5.39
03-05-1996 00:00,187.96288,5.44
06-05-1996 00:00,188.40276,5.46
07-05-1996 00:00,189.64107,5.49
08-05-1996 00:00,187.9248,5.44
09-05-1996 00:00,189.44526,5.42
10-05-1996 00:00,189.1011,5.35
13-05-1996 00:00,189.57174,5.37
14-05-1996 00:00,187.72972,5.38
15-05-1996 00:00,187.25399,5.39
16-05-1996 00:00,186.83352,5.36
17-05-1996 00:00,187.08833,5.33
20-05-1996 00:00,184.96646,5.27
21-05-1996 00:00,185.11826,5.29
22-05-1996 00:00,186.85194,5.34
23-05-1996 00:00,186.17872,5.32
24-05-1996 00:00,186.732,5.32
27-05-1996 00:00,186.74264,5.32
28-05-1996 00:00,188.12528,5.36
29-05-1996 00:00,184.44972,5.32
30-05-1996 00:00,187.25889,5.33
31-05-1996 00:00,188.56376,5.39
03-06-1996 00:00,187.3056,5.37
04-06-1996 00:00,181.3864,5.2
05-06-1996 00:00,179.76924,5.16
06-06-1996 00:00,180.24516,5.21
07-06-1996 00:00,179.2539,5.18
10-06-1996 00:00,179.22282,5.18
11-06-1996 00:00,177.06661,5.11
12-06-1996 00:00,176.33287,5.09
13-06-1996 00:00,176.26076,5.08
14-06-1996 00:00,180.08781,5.19
17-06-1996 00:00,180.11376,5.19
18-06-1996 00:00,180.4348,5.2
19-06-1996 00:00,178.04178,5.13
20-06-1996 00:00,178.358,5.14
21-06-1996 00:00,178.09586,5.14
24-06-1996 00:00,179.09328,5.16
25-06-1996 00:00,179.0262,5.16
26-06-1996 00:00,175.94421,5.07
27-06-1996 00:00,174.45504,5.02
28-06-1996 00:00,175.49028,5.01
01-07-1996 00:00,177.61106,5.06
02-07-1996 00:00,177.2301,5.1
03-07-1996 00:00,177.59805,5.11
04-07-1996 00:00,178.3536,5.09
05-07-1996 00:00,176.85004,5.08
08-07-1996 00:00,177.00755,5.05
09-07-1996 00:00,178.4949,5.1
10-07-1996 00:00,178.86533,5.11
11-07-1996 00:00,180.59139,5.13
12-07-1996 00:00,179.6864,5.12
15-07-1996 00:00,182.60355,5.15
16-07-1996 00:00,175.95765,4.95
17-07-1996 00:00,176.79424,4.96
18-07-1996 00:00,177.62903,4.99
19-07-1996 00:00,175.85184,4.96
22-07-1996 00:00,177.09348,5.01
23-07-1996 00:00,175.30128,4.96
24-07-1996 00:00,177.09849,5.01
25-07-1996 00:00,176.90548,4.99
26-07-1996 00:00,180.5655,5.1
29-07-1996 00:00,179.97993,5.07
30-07-1996 00:00,179.18901,5.07
31-07-1996 00:00,181.96114,5.14
01-08-1996 00:00,180.63339,5.11
02-08-1996 00:00,179.58308,5.08
05-08-1996 00:00,179.22957,5.07
06-08-1996 00:00,178.05697,5.03
07-08-1996 00:00,178.40592,5.04
08-08-1996 00:00,180.95459,5.09
09-08-1996 00:00,178.93512,5.04
12-08-1996 00:00,179.49828,5.07
13-08-1996 00:00,180.16564,5.09
14-08-1996 00:00,178.73465,5.05
15-08-1996 00:00,180.17073,5.09
16-08-1996 00:00,180.20127,5.09
19-08-1996 00:00,184.40795,5.21
20-08-1996 00:00,184.16829,5.21
21-08-1996 00:00,183.41344,5.18
22-08-1996 00:00,185.12108,5.23
23-08-1996 00:00,184.47047,5.21
26-08-1996 00:00,187.21296,5.28
27-08-1996 00:00,186.59025,5.25
28-08-1996 00:00,184.13864,5.18
29-08-1996 00:00,183.9855,5.19
30-08-1996 00:00,183.6569,5.18
02-09-1996 00:00,183.6569,5.18
03-09-1996 00:00,183.13872,5.16
04-09-1996 00:00,183.78833,5.17
05-09-1996 00:00,182.73214,5.14
06-09-1996 00:00,181.504,5.12
09-09-1996 00:00,180.09616,5.08
10-09-1996 00:00,180.43541,5.09
11-09-1996 00:00,180.11648,5.08
12-09-1996 00:00,178.50116,5.02
13-09-1996 00:00,178.79135,5.03
16-09-1996 00:00,179.31035,5.05
17-09-1996 00:00,178.87968,5.04
18-09-1996 00:00,179.99514,5.07
19-09-1996 00:00,175.2615,4.93
20-09-1996 00:00,172.1459,4.85
23-09-1996 00:00,172.65611,4.87
24-09-1996 00:00,174.03986,4.91
25-09-1996 00:00,173.6903,4.9
26-09-1996 00:00,172.63176,4.87
27-09-1996 00:00,174.03986,4.91
30-09-1996 00:00,172.25784,4.86
01-10-1996 00:00,173.36517,4.89
02-10-1996 00:00,173.6805,4.9
03-10-1996 00:00,173.07666,4.89
04-10-1996 00:00,172.04886,4.86
07-10-1996 00:00,172.98624,4.88
08-10-1996 00:00,173.01064,4.88
09-10-1996 00:00,175.46265,4.95
10-10-1996 00:00,179.172,5.04
11-10-1996 00:00,178.67304,5.04
14-10-1996 00:00,177.96402,5.02
15-10-1996 00:00,178.83159,5.03
16-10-1996 00:00,178.38606,5.01
17-10-1996 00:00,173.57055,4.89
18-10-1996 00:00,174.2307,4.89
21-10-1996 00:00,174.4386,4.92
22-10-1996 00:00,176.15171,4.97
23-10-1996 00:00,176.44991,4.97
24-10-1996 00:00,174.55541,4.91
25-10-1996 00:00,174.39432,4.92
28-10-1996 00:00,174.66984,4.92
29-10-1996 00:00,170.90274,4.82
30-10-1996 00:00,170.8449,4.82
31-10-1996 00:00,170.424,4.8
01-11-1996 00:00,169.77676,4.79
04-11-1996 00:00,170.8608,4.8
05-11-1996 00:00,170.71081,4.79
06-11-1996 00:00,167.37592,4.72
07-11-1996 00:00,171.56348,4.84
08-11-1996 00:00,172.85092,4.84
11-11-1996 00:00,174.63657,4.89
12-11-1996 00:00,173.24,4.88
13-11-1996 00:00,174.93,4.9
14-11-1996 00:00,172.65515,4.85
15-11-1996 00:00,175.60712,4.94
18-11-1996 00:00,174.32361,4.89
19-11-1996 00:00,172.9716,4.88
20-11-1996 00:00,175.49814,4.93
21-11-1996 00:00,172.8734,4.85
22-11-1996 00:00,172.9122,4.85
25-11-1996 00:00,168.35425,4.75
26-11-1996 00:00,169.1285,4.75
27-11-1996 00:00,169.22274,4.74
28-11-1996 00:00,168.86573,4.73
29-11-1996 00:00,168.51816,4.72
02-12-1996 00:00,167.21257,4.69
03-12-1996 00:00,170.37354,4.78
04-12-1996 00:00,172.43068,4.82
05-12-1996 00:00,173.4845,4.85
06-12-1996 00:00,170.30808,4.77
09-12-1996 00:00,171.07128,4.77
10-12-1996 00:00,173.19414,4.83
11-12-1996 00:00,172.42134,4.83
12-12-1996 00:00,172.074,4.82
13-12-1996 00:00,172.3391,4.82
16-12-1996 00:00,171.5808,4.8
17-12-1996 00:00,173.42145,4.85
18-12-1996 00:00,173.6009,4.85
19-12-1996 00:00,173.63,4.85
20-12-1996 00:00,172.5078,4.82
23-12-1996 00:00,172.8174,4.83
24-12-1996 00:00,172.74444,4.84
25-12-1996 00:00,172.74444,4.84
26-12-1996 00:00,174.52899,4.89
27-12-1996 00:00,174.78816,4.89
30-12-1996 00:00,171.45805,4.79
31-12-1996 00:00,170.51319,4.77
01-01-1997 00:00,170.87066,4.78
02-01-1997 00:00,168.87234,4.71
03-01-1997 00:00,167.44752,4.67
06-01-1997 00:00,165.86975,4.63
07-01-1997 00:00,168.4151,4.7
08-01-1997 00:00,166.51185,4.65
09-01-1997 00:00,169.24976,4.72
10-01-1997 00:00,170.0405,4.75
13-01-1997 00:00,168.2976,4.7
14-01-1997 00:00,166.74878,4.66
15-01-1997 00:00,167.13463,4.67
16-01-1997 00:00,168.858,4.72
17-01-1997 00:00,170.72307,4.77
20-01-1997 00:00,169.51847,4.73
21-01-1997 00:00,168.65568,4.71
22-01-1997 00:00,168.97128,4.72
23-01-1997 00:00,173.8665,4.86
24-01-1997 00:00,177.94091,4.97
27-01-1997 00:00,180.44208,5.04
28-01-1997 00:00,177.20505,4.95
29-01-1997 00:00,176.48414,4.93
30-01-1997 00:00,176.56302,4.93
31-01-1997 00:00,176.48414,4.93
03-02-1997 00:00,175.4004,4.9
04-02-1997 00:00,173.727,4.85
05-02-1997 00:00,174.31191,4.87
06-02-1997 00:00,173.2478,4.84
07-02-1997 00:00,176.82236,4.94
10-02-1997 00:00,177.3882,4.95
11-02-1997 00:00,173.47528,4.84
12-02-1997 00:00,183.41376,5.12
13-02-1997 00:00,183.56224,5.12
14-02-1997 00:00,188.3595,5.25
17-02-1997 00:00,186.5344,5.2
18-02-1997 00:00,186.86034,5.22
19-02-1997 00:00,185.13253,5.17
20-02-1997 00:00,187.22354,5.23
21-02-1997 00:00,186.4356,5.2
24-02-1997 00:00,186.394,5.2
25-02-1997 00:00,186.86556,5.22
26-02-1997 00:00,186.2328,5.2
27-02-1997 00:00,187.58676,5.24
28-02-1997 00:00,190.18296,5.31
03-03-1997 00:00,189.06096,5.28
04-03-1997 00:00,187.06914,5.22
05-03-1997 00:00,186.108,5.2
06-03-1997 00:00,185.81238,5.19
07-03-1997 00:00,185.01879,5.17
10-03-1997 00:00,187.21831,5.23
11-03-1997 00:00,188.47632,5.26
12-03-1997 00:00,186.2016,5.2
13-03-1997 00:00,188.9976,5.28
14-03-1997 00:00,187.866,5.25
17-03-1997 00:00,186.3524,5.2
18-03-1997 00:00,185.31865,5.17
19-03-1997 00:00,187.1631,5.22
20-03-1997 00:00,186.12897,5.19
21-03-1997 00:00,184.05312,5.14
24-03-1997 00:00,185.30314,5.17
25-03-1997 00:00,182.8656,5.1
26-03-1997 00:00,184.3597,5.15
27-03-1997 00:00,183.88998,5.13
28-03-1997 00:00,183.88998,5.13
31-03-1997 00:00,181.13788,5.06
01-04-1997 00:00,179.165,5
02-04-1997 00:00,173.97828,4.86
03-04-1997 00:00,169.74888,4.74
04-04-1997 00:00,169.8342,4.74
07-04-1997 00:00,171.13356,4.78
08-04-1997 00:00,171.21482,4.78
09-04-1997 00:00,171.19092,4.78
10-04-1997 00:00,171.48679,4.79
11-04-1997 00:00,169.23467,4.73
14-04-1997 00:00,168.98544,4.72
15-04-1997 00:00,168.88632,4.72
16-04-1997 00:00,171.23292,4.79
17-04-1997 00:00,168.70696,4.72
18-04-1997 00:00,168.39192,4.71
21-04-1997 00:00,170.04148,4.76
22-04-1997 00:00,168.84681,4.73
23-04-1997 00:00,169.218,4.74
24-04-1997 00:00,167.54087,4.69
25-04-1997 00:00,169.03128,4.73
28-04-1997 00:00,165.0033,4.62
29-04-1997 00:00,166.11195,4.65
30-04-1997 00:00,166.97772,4.68
01-05-1997 00:00,169.33176,4.74
02-05-1997 00:00,168.20352,4.71
05-05-1997 00:00,169.84575,4.75
06-05-1997 00:00,169.01848,4.72
07-05-1997 00:00,169.93848,4.74
08-05-1997 00:00,173.08788,4.83
09-05-1997 00:00,174.0852,4.86
12-05-1997 00:00,172.6042,4.82
13-05-1997 00:00,174.76256,4.88
14-05-1997 00:00,172.97196,4.83
15-05-1997 00:00,173.26716,4.84
16-05-1997 00:00,167.46912,4.68
19-05-1997 00:00,168.1848,4.7
20-05-1997 00:00,168.49554,4.71
21-05-1997 00:00,167.70502,4.69
22-05-1997 00:00,167.28192,4.68
23-05-1997 00:00,168.88938,4.73
26-05-1997 00:00,169.18737,4.73
27-05-1997 00:00,169.97875,4.75
28-05-1997 00:00,169.18737,4.73
29-05-1997 00:00,172.75944,4.83
30-05-1997 00:00,168.0297,4.7
